date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
10:50:24	152/152	---MC-	302	error ('Found')	text/html	date:Fri,%2016%20Oct%202020%2005:20:23%20GMT	https://waffy-demo.myshopify.com/checkout	E:/Ansh%20Tech/Masala%20Company/waffy-demo.myshopify.com/checkout	(from https://waffy-demo.myshopify.com/)
10:50:24	103/103	---MC-	302	error ('Found')	text/html	date:Fri,%2016%20Oct%202020%2005:20:24%20GMT	https://waffy-demo.myshopify.com/1230110804/checkouts/80f8b5fbe5d784aaefd5d384be18f8de	E:/Ansh%20Tech/Masala%20Company/waffy-demo.myshopify.com/1230110804/checkouts/80f8b5fbe5d784aaefd5d384be18f8de	(from https://waffy-demo.myshopify.com/)
10:50:25	96659/96659	---MCZ	200	added ('OK')	text/html	etag:cacheable:83754e6d2c4583b13aab0d4346237c3d	https://waffy-demo.myshopify.com/cart	E:/Ansh%20Tech/Masala%20Company/waffy-demo.myshopify.com/cart.html	(from https://waffy-demo.myshopify.com/)
10:50:26	98850/98850	---MCZ	200	added ('OK')	text/html	date:Fri,%2016%20Oct%202020%2005:20:25%20GMT	https://waffy-demo.myshopify.com/account/login	E:/Ansh%20Tech/Masala%20Company/waffy-demo.myshopify.com/account/login.html	(from https://waffy-demo.myshopify.com/)
10:50:27	97216/97216	---MCZ	200	added ('OK')	text/html	etag:cacheable:ba2fd985d37921b8bec5e9607391c8b3	https://waffy-demo.myshopify.com/account/register	E:/Ansh%20Tech/Masala%20Company/waffy-demo.myshopify.com/account/register.html	(from https://waffy-demo.myshopify.com/)
10:50:30	111658/111658	---MCZ	200	added ('OK')	text/html	etag:cacheable:5a089a149233d0eb93916ab4ecbbcb71	https://waffy-demo.myshopify.com/pages/wishlist	E:/Ansh%20Tech/Masala%20Company/waffy-demo.myshopify.com/pages/wishlist.html	(from https://waffy-demo.myshopify.com/)
10:50:39	55301/55301	---M--	200	added ('OK')	image/jpeg	date:Fri,%2016%20Oct%202020%2005:20:30%20GMT	http://cdn.shopify.com/s/files/1/0012/3011/0804/files/tab-slider3_3b36583c-b29a-434b-af23-7892913ffab2_968x.jpg?v=1542966813	E:/Ansh%20Tech/Masala%20Company/cdn.shopify.com/s/files/1/0012/3011/0804/files/tab-slider3_3b36583c-b29a-434b-af23-7892913ffab2_968x96d3.jpg	(from https://waffy-demo.myshopify.com/)
10:50:47	151275/151275	---M--	200	added ('OK')	image/jpeg	date:Fri,%2016%20Oct%202020%2005:20:28%20GMT	http://cdn.shopify.com/s/files/1/0012/3011/0804/files/slider1_2000x.jpg?v=1542964071	E:/Ansh%20Tech/Masala%20Company/cdn.shopify.com/s/files/1/0012/3011/0804/files/slider1_2000x57e8.jpg	(from https://waffy-demo.myshopify.com/)
10:50:52	119122/119122	---M--	200	added ('OK')	image/jpeg	date:Fri,%2016%20Oct%202020%2005:20:33%20GMT	http://cdn.shopify.com/s/files/1/0012/3011/0804/files/tab-slider2_206e8708-9b6f-4b18-bc8a-4db3ec5ebd6e_968x.jpg?v=1542966804	E:/Ansh%20Tech/Masala%20Company/cdn.shopify.com/s/files/1/0012/3011/0804/files/tab-slider2_206e8708-9b6f-4b18-bc8a-4db3ec5ebd6e_968x1d81.jpg	(from https://waffy-demo.myshopify.com/)
10:50:59	120369/120369	---M-Z	200	added ('OK')	application/javascript	date:Thu,%2023%20Jan%202020%2005:35:24%20GMT	http://cdn.shopify.com/s/files/1/0012/3011/0804/t/5/assets/swiper.js?v=15172428264753074097	E:/Ansh%20Tech/Masala%20Company/cdn.shopify.com/s/files/1/0012/3011/0804/t/5/assets/swiperd39e.js	(from https://waffy-demo.myshopify.com/)
10:51:01	22331/22331	---M-Z	200	added ('OK')	text/css	date:Thu,%2023%20Jan%202020%2005:35:24%20GMT	http://cdn.shopify.com/s/files/1/0012/3011/0804/t/5/assets/swiper.css?v=14373425708248585266	E:/Ansh%20Tech/Masala%20Company/cdn.shopify.com/s/files/1/0012/3011/0804/t/5/assets/swiper8255.css	(from https://waffy-demo.myshopify.com/)
10:51:04	104455/104455	---M--	200	added ('OK')	image/jpeg	date:Fri,%2016%20Oct%202020%2005:20:48%20GMT	http://cdn.shopify.com/s/files/1/0012/3011/0804/files/tab-slider1_968x.jpg?v=1542964182	E:/Ansh%20Tech/Masala%20Company/cdn.shopify.com/s/files/1/0012/3011/0804/files/tab-slider1_968xe89c.jpg	(from https://waffy-demo.myshopify.com/)
10:51:10	51671/51671	---M--	200	added ('OK')	image/jpeg	date:Fri,%2016%20Oct%202020%2005:21:01%20GMT	http://cdn.shopify.com/s/files/1/0012/3011/0804/files/product-section-bg-img_1920X.jpg?v=1542965480	E:/Ansh%20Tech/Masala%20Company/cdn.shopify.com/s/files/1/0012/3011/0804/files/product-section-bg-img_1920Xe353.jpg	(from https://waffy-demo.myshopify.com/)
10:51:10	197298/197298	---MCZ	200	added ('OK')	text/html	etag:cacheable:2e5c999adc53230efc6e2f11546b8d42	https://waffy-demo.myshopify.com/collections/roaster-seeds/products/black-sesame-seeds	E:/Ansh%20Tech/Masala%20Company/waffy-demo.myshopify.com/collections/roaster-seeds/products/black-sesame-seeds.html	(from https://waffy-demo.myshopify.com/)
10:51:17	27088/27088	---M--	200	added ('OK')	image/jpeg	date:Fri,%2016%20Oct%202020%2005:21:12%20GMT	http://cdn.shopify.com/s/files/1/0012/3011/0804/products/39_400x.jpg?v=1542095626	E:/Ansh%20Tech/Masala%20Company/cdn.shopify.com/s/files/1/0012/3011/0804/products/39_400x7522.jpg	(from https://waffy-demo.myshopify.com/)
10:51:20	95780/95780	---MCZ	404	error ('Not%20Found')	text/html	etag:cacheable:fd37b93408ec7ff9a0b391fbf67a5944	https://waffy-demo.myshopify.com/black-sesame-seeds	E:/Ansh%20Tech/Masala%20Company/waffy-demo.myshopify.com/black-sesame-seeds.46.delayed	(from https://waffy-demo.myshopify.com/)
10:51:20	37269/37269	---M--	200	added ('OK')	image/jpeg	date:Fri,%2016%20Oct%202020%2005:21:13%20GMT	http://cdn.shopify.com/s/files/1/0012/3011/0804/products/15_2db1577d-020f-401c-9b84-4e18c1cb3916_400x.jpg?v=1544419301	E:/Ansh%20Tech/Masala%20Company/cdn.shopify.com/s/files/1/0012/3011/0804/products/15_2db1577d-020f-401c-9b84-4e18c1cb3916_400x445d.jpg	(from https://waffy-demo.myshopify.com/)
10:51:23	190457/190457	---MCZ	200	added ('OK')	text/html	etag:cacheable:5d300c0c43ac7d7b688b29077b14a293	https://waffy-demo.myshopify.com/collections/roaster-seeds/products/black-cardamom	E:/Ansh%20Tech/Masala%20Company/waffy-demo.myshopify.com/collections/roaster-seeds/products/black-cardamom.html	(from https://waffy-demo.myshopify.com/)
10:51:26	28474/28474	---M--	200	added ('OK')	image/jpeg	date:Fri,%2016%20Oct%202020%2005:21:21%20GMT	http://cdn.shopify.com/s/files/1/0012/3011/0804/products/9_400x.jpg?v=1542091205	E:/Ansh%20Tech/Masala%20Company/cdn.shopify.com/s/files/1/0012/3011/0804/products/9_400xae73.jpg	(from https://waffy-demo.myshopify.com/)
10:51:28	95780/95780	---MCZ	404	error ('Not%20Found')	text/html	etag:cacheable:fd37b93408ec7ff9a0b391fbf67a5944	https://waffy-demo.myshopify.com/black-cardamom	E:/Ansh%20Tech/Masala%20Company/waffy-demo.myshopify.com/black-cardamom.4a.delayed	(from https://waffy-demo.myshopify.com/)
10:51:30	28196/28196	---M--	200	added ('OK')	image/jpeg	date:Fri,%2016%20Oct%202020%2005:21:24%20GMT	http://cdn.shopify.com/s/files/1/0012/3011/0804/products/10_400x.jpg?v=1542091206	E:/Ansh%20Tech/Masala%20Company/cdn.shopify.com/s/files/1/0012/3011/0804/products/10_400xd824.jpg	(from https://waffy-demo.myshopify.com/)
10:51:33	190081/190081	---MCZ	200	added ('OK')	text/html	etag:cacheable:e9cc0a1364d8de698c0a0b033eb50c02	https://waffy-demo.myshopify.com/collections/roaster-seeds/products/dried-ginger	E:/Ansh%20Tech/Masala%20Company/waffy-demo.myshopify.com/collections/roaster-seeds/products/dried-ginger.html	(from https://waffy-demo.myshopify.com/)
10:51:34	410321/410321	---M--	200	added ('OK')	image/jpeg	date:Fri,%2016%20Oct%202020%2005:20:32%20GMT	http://cdn.shopify.com/s/files/1/0012/3011/0804/files/slider2_2000x.jpg?v=1542964083	E:/Ansh%20Tech/Masala%20Company/cdn.shopify.com/s/files/1/0012/3011/0804/files/slider2_2000xb418.jpg	(from https://waffy-demo.myshopify.com/)
10:51:35	27512/27512	---M--	200	added ('OK')	image/jpeg	date:Fri,%2016%20Oct%202020%2005:21:30%20GMT	http://cdn.shopify.com/s/files/1/0012/3011/0804/products/43_400x.jpg?v=1542095893	E:/Ansh%20Tech/Masala%20Company/cdn.shopify.com/s/files/1/0012/3011/0804/products/43_400x4dce.jpg	(from https://waffy-demo.myshopify.com/)
10:51:35	373073/373073	---M--	200	added ('OK')	image/jpeg	date:Fri,%2016%20Oct%202020%2005:20:39%20GMT	http://cdn.shopify.com/s/files/1/0012/3011/0804/files/slider3_2000x.jpg?v=1542964087	E:/Ansh%20Tech/Masala%20Company/cdn.shopify.com/s/files/1/0012/3011/0804/files/slider3_2000x7331.jpg	(from https://waffy-demo.myshopify.com/)
